code	fip	name	west	north	east	south	geonameid
US	0	Entire US	-171.791111	18.91619	-66.96466	71.357764	6252001.0
AL	1	Alabama	-88.473227	30.223334	-84.88908	35.008028	4829764.0
AK	2	Alaska	-179.148909	51.214183	179.77847	71.365162	5879092.0
AS	60	American Samoa	-171.089874	-14.548699	-168.1433	-11.046934	
AZ	4	Arizona	-114.81651	31.332177	-109.045223	37.00426	5551752.0
AR	5	Arkansas	-94.617919	33.004106	-89.644395	36.4996	4099753.0
CA	6	California	-124.409591	32.534156	-114.131211	42.009518	5332921.0
CO	8	Colorado	-109.060253	36.992426	-102.041524	41.003444	5417618.0
MP	69	Northern Mariana Islands	144.886331	14.110472	146.064818	20.553802	
CT	9	Connecticut	-73.727775	40.980144	-71.786994	42.050587	4831725.0
DE	10	Delaware	-75.788658	38.451013	-75.048939	39.839007	4142224.0
DC	11	District of Columbia	-77.119759	38.791645	-76.909395	38.99511	4138106.0
FL	12	Florida	-87.634938	24.523096	-80.031362	31.000888	4155751.0
GA	13	Georgia	-85.605165	30.357851	-80.839729	35.000659	4197000.0
GU	66	Guam	144.618068	13.234189	144.956712	13.654383	
HI	15	Hawaii	-178.334698	18.910361	-154.806773	28.402123	5855797.0
ID	16	Idaho	-117.243027	41.988057	-111.043564	49.001146	5596512.0
IL	17	Illinois	-91.513079	36.970298	-87.494756	42.508481	4896861.0
IN	18	Indiana	-88.09776	37.771742	-84.784579	41.760592	4921868.0
IA	19	Iowa	-96.639704	40.375501	-90.140061	43.501196	4862182.0
KS	20	Kansas	-102.051744	36.993016	-94.588413	40.003162	4273857.0
KY	21	Kentucky	-89.571509	36.497129	-81.964971	39.147458	6254925.0
LA	22	Louisiana	-94.043147	28.928609	-88.817017	33.019457	4331987.0
ME	23	Maine	-71.083924	42.977764	-66.949895	47.459686	4971068.0
MD	24	Maryland	-79.487651	37.911717	-75.048939	39.723043	4361885.0
MA	25	Massachusetts	-73.508142	41.237964	-69.928393	42.886589	6254926.0
MI	26	Michigan	-90.418136	41.696118	-82.413474	48.2388	5001836.0
MN	27	Minnesota	-97.239209	43.499356	-89.491739	49.384358	5037779.0
MS	28	Mississippi	-91.655009	30.173943	-88.097888	34.996052	4436296.0
MO	29	Missouri	-95.774704	35.995683	-89.098843	40.61364	4398678.0
MT	30	Montana	-116.050003	44.358221	-104.039138	49.00139	5667009.0
NE	31	Nebraska	-104.053514	39.999998	-95.30829	43.001708	5073708.0
NV	32	Nevada	-120.005746	35.001857	-114.039648	42.002207	5509151.0
NH	33	New Hampshire	-72.557247	42.69699	-70.610621	45.305476	5090174.0
NJ	34	New Jersey	-75.559614	38.928519	-73.893979	41.357423	5101760.0
NM	35	New Mexico	-109.050173	31.332301	-103.001964	37.000232	5481136.0
NY	36	New York	-79.762152	40.496103	-71.856214	45.01585	5128638.0
NC	37	North Carolina	-84.321869	33.842316	-75.460621	36.588117	4482348.0
ND	38	North Dakota	-104.0489	45.935054	-96.554507	49.000574	5690763.0
OH	39	Ohio	-84.820159	38.403202	-80.518693	41.977523	5165418.0
OK	40	Oklahoma	-103.002565	33.615833	-94.430662	37.002206	4544379.0
OR	41	Oregon	-124.566244	41.991794	-116.463504	46.292035	5744337.0
PA	42	Pennsylvania	-80.519891	39.7198	-74.689516	42.26986	6254927.0
PR	72	Puerto Rico	-67.945404	17.88328	-65.220703	18.515683	
RI	44	Rhode Island	-71.862772	41.146339	-71.12057	42.018798	5224323.0
SC	45	South Carolina	-83.35391	32.0346	-78.54203	35.215402	4597040.0
SD	46	South Dakota	-104.057698	42.479635	-96.436589	45.94545	5769223.0
TN	47	Tennessee	-90.310298	34.982972	-81.6469	36.678118	4662168.0
TX	48	Texas	-106.645646	25.837377	-93.508292	36.500704	4736286.0
VI	78	United States Virgin Islands	-65.085452	17.673976	-64.564907	18.412655	
UT	49	Utah	-114.052962	36.997968	-109.041058	42.001567	5549030.0
VT	50	Vermont	-73.43774	42.726853	-71.464555	45.016659	5242283.0
VA	51	Virginia	-83.675395	36.540738	-75.242266	39.466012	6254928.0
WA	53	Washington	-124.763068	45.543541	-116.915989	49.002494	5815135.0
WV	54	West Virginia	-82.644739	37.201483	-77.719519	40.638801	4826850.0
WI	55	Wisconsin	-92.888114	42.491983	-86.805415	47.080621	5279468.0
WY	56	Wyoming	-111.056888	40.994746	-104.05216	45.005904	5843591.0
